article,date,cluster
"    WORLD NEWS BRIEFS; Kenya Agrees to Expand U.S. Use of Military Bases  WASHINGTON, June 27 (Reuters) - Kenya has agreed to expand American access to its military facilities in exchange for increased military and economic aid, the State Department announced today. Details of the agreement are still to be worked out.  Oman has also agreed to such an arrangement, but Secretary of State Edmund S. Muskie indicated this week that there were problems in talks with Somalia.  American officials said the United States wanted to use Kenya's air and port facilities more often and it was logical to expect that depots for fuel and spare parts and possibly even a hangar would be established. United States naval vessels have called at Mombasa for many years.  Dutch Government Survives Censure Vote  THE HAGUE, June 27 (Reuters) -The future of the Dutch Government was in doubt after it narrowly survived a parliamentary censure motion today.  Prime Minister Andreas A.M. van Agt's center-right Cabinet, under fire for its refusal to forbid the sale of oil to South Africa, survived on a vote of 74 to 72 at dawn after an all-night debate.  The embargo would be largely symbolic because South Africa imports little oil from the Netherlands. The Government has said that it favors an embargo but that unilateral action would have little impact. Parliament adjourned today for the summer.  26 Jamaicans Charged In Alleged Coup Plot  KINGSTON, Jamaica, June 27 (UPI) - Twenty-six soldiers were charged today in an alleged plot to overthrow the Government of Prime Minister Michael N. Manley. Seven others still face charges.  As officials investigated the alleged plot, the police reported that four people were shot and killed overnight in separate incidents in Kingston. The police linked some of the shootings to political gang warfare in Kingston's slums.  Bodies of 400 Americans Reported in Hanoi in 1977  WASHINGTON, June 27 (AP) - A former North Vietnamese undertaker, contradicting the Vietnamese Government, said today that he saw the bodies of 400 American servicemen stored at a former prisoner-of-war camp in Hanoi as late as 1977.  Wearing a helmet and a black visor to prevent his identification because of reported threats to his life, the undertaker told a House Foreign Affairs subcommittee that as late as mid-1977 he worked on American remains at 17 Ly Nam De Street in Hanoi, which once housed American prisoners, who called it the Citadel or the Plantation. He said that from 1969 to 1975 he and his subordinates processed many of the 400 American remains there. He said the remains were stored in wooden boxes with their personal effects and identification.  He said he had worked for the Vietnamese Government since 1958 but was expelled last year because he is an ethnic Chinese.  Lieut. Gen. Eugene F. Tighe Jr., director of the Defense Intelligence Agency, said that the information had been corroborated but that Vietnam had refused to acknowledge that any more unidentified American servicemen, dead or alive, were in Vietnam.  LANGUAGE: ENGLISH                      ",June 28 1980 ,0
"   , Thailand, Oct. 6   Two United States officials who visited Hanoi for talks on missing servicemen learned something about Vietnamese tracing procedures but otherwise made little progress, sources close to the talks said here today.  Lieut. Col. Paul Mather and James Tulley, who are based here with the Joint Casualty Resolution Center, held working-level talks with Vietnamese officials from last Wednesday to Saturday on the estimated 2,500 Americans missing since the Vietnam War.  The sources said the Vietnamese officials had refused to agree to hold regular talks on the subject, saying their capability had been reduced by budget and personnel problems resulting from what they called the continuing threat of a Chinese invasion.  But the sources were told that the main difficulty was that the Vietnamese felt that the United States was allied with China, and the officials did not want to cooperate in the tracing efforts.  LANGUAGE: ENGLISH                      ",October 7 1980 ,3
"    ON his first trip to the United States, Robert Vifian particularly enjoyed two dishes: chili and cioppino, a tomato-based stew of Pacific Coast seafood found in San Francisco. And cookies. ''America is the best place in the world for cookies,'' said Mr. Vifian, a Vietnamese chef who owns a restaurant in Paris. A recent 12-day cross-country swing gave him ample opportunity to sample a good many native American specialties as well as American interpretations of the cuisines of other countries.  ''Americans seem to like spicy foods,'' he said with a satisfied smile. ''That pleases me. The French would never stand for it.'' He was amazed at the variety of cuisines served in American kitchens, often several on a single menu. ''We had meals that mixed the cooking of two or three countries. Steak tartare and South American hors d'oeuvres. Fascinating! We can't do that in France. Everything is labeled. As much as I loved cioppino I couldn't put it on my menu. The public is not interested in an American dish in a Vietnamese restaurant.''  Mr. Vifian, who was born in Saigon and joined the rest of his family in Paris in 1968, has owned Tan Dinh, a Vietnamese restaurant, since 1972. In 1974 his restaurant, one of hundreds in Paris specializing in Vietnamese food, was awarded a coveted toque in the Gault-Millau guidebook.  His trip to the United States was sponsored by Ocean Spray Cranberries as part of a campaign to promote new uses for cranberries. Mr. Vifian liked their sweet-sour flavor. He pickled them and used them as a garnish for various dishes. ''I always include something red in my dishes,'' he said. ''In Vietnam red is the color of luck.''  Although the food in Mr. Vifian's restaurant is strictly Vietnamese, he likes to refer to it as ''nouvelle Vietnamese.'' ''I try to make it less complicated, simplifying it so each ingredient can be tasted and appreciated,'' he said. ''I refuse to use flavor enhancers such as monosodium glutamate. I find a pinch of sugar does the trick.'' For him, the temptation to change traditional recipes is almost irresistible, a way to avoid boredom in the kitchen of a 60-seat restaurant that is open for lunch and dinner.  Various types of spring rolls filled with pork or crabmeat and then eaten wrapped in lettuce leaves with condiments such as ginger and coriander are some typical dishes served at Tan Dinh. ''We often wrap foods to keep them moist while cooking and make them easier to eat,'' he said. Entrees are sometimes stir-fried combinations of meat or seafood with vegetables and flavored with a tart, chewy herb called lemon grass or with basil, a purple variety of which grows abundantly in Vietnam. Hotly spiced soups and sweet, soft puddinglike confections often flavored with coconut are also served.  Mr. Vifian's interpretation of Vietnamese food is distinguished by the service of wines. His wine cellar comprises more than 30,000 bottles and includes close to 600 American bottles. ''I think the wines of Pomerol (one of the districts of Bordeaux) tend to best complement my food,'' he said. ''Wine makers order the American wines.''  He noted how few Vietnamese restaurants there were in the United States, especially in New York. ''There should be more,'' he said.  ''Americans should like Vietnamese food. We use more raw herbs and vegetables than the Chinese do and our cooking is often very spicy.  It would be a disappointment to me if Vietmanese cuisine did not become popular here.'' But Chinese restaurants were more popular than he expected and he was surprised at the availability of Oriental ingredients.  Generally, American vegetables and fruits did not impress him. But he liked the corn. ''Corn is eaten in Vietnam - we cook it every way,'' he said. ''We eat it on the cob like you do but brushed with peanut oil and seasoned with nuoc mam instead of butter and salt.'' (Nuoc mam is a highly salted sauce made from fermented fish that is used as a condiment in Vietnam.) ''Our corn is not as sweet and tender as yours,'' he said. ''My mother used to cook it twice as long as they do here, but it's better than in France. The corn in France is terrible.''  While he was in New York, Mr. Vifian prepared several dishes, including a sweet corn and coconut ''soup'' that was meant to be served as dessert. ''Americans would probably find it surprising, but it is typical,'' he said. He also fashioned rolls of marinated beef wrapped in lettuce leaves, skewered and grilled. That recipe follows.  Saigon Beef Rolls  6 ounces boneless sirloin steak or fillet of beef, sliced paper-thin (see note) 1/2 teaspoon five-spice powder (see note) 3 tablespoons peanut oil 1 tablespoon light soy sauce 1/2 teaspoon minced garlic 1 teaspoon sugar 1 head Boston lettuce 2 tablespoons lemon juice 1 tablespoon nuoc mam (see note) 1 teaspoon grated ginger 1/4 cup water.  1. To prepare this dish you will need small skewers, either metal or Oriental wooden ones. If you are using wooden skewers, soak them in warm water for at least one hour.  2. Toss beef in a bowl with the five-spice powder, one tablespoon of the peanut oil, the light soy sauce, garlic and half a teaspoon of sugar. Allow to marinate 10 minutes.  3. Meanwhile, separate leaves of Boston lettuce and rinse them thoroughly to remove all grit and sand. Plunge the leaves into boiling water just until they wilt. Drain them on paper towels.  4. Wrap one or two slices of the beef in each lettuce leaf, rolling the lettuce and tucking in the ends to make a neat, compact package.  Thread the beef rolls on skewers. Brush them with peanut oil.  5. Mix the lemon juice, nuoc mam, ginger, remaining half teaspoon of sugar and water in a small bowl to make the dipping sauce.  6. Grill the beef rolls on a hot broiler about one minute on each side, turning them once and brushing again with oil. Serve hot with the dipping sauce.  Yield: 4 servings.  Note: 1. The beef must be very tender. Use only prime sirloin steak or fillet of beef. To be sure it is sliced thin enough, do not leave this task to the butcher. Place the meat in the freezer for about an hour, then slice the meat while it is partly frozen.  2. Five-spice powder and nuoc mam (fish sauce) are sold in Oriental food stores.  LANGUAGE: ENGLISH  GRAPHIC: Illustrations: Photo of Robert Vifian                      ",October 29 1980 ,0
"   , Thailand, Nov. 12   Officials said today that an American employed by the United Nations had begun consultations in Ho Chi Minh City for an airlift of more than 1,700 Vietnamese to the United States.  The United Nations representative, Thomas Malia, went to the former South Vietnamese capital, previously known as Saigon, yesterday, the officials said.  Mr. Malia, a member of the staff of the United Nations High Commissioner for Refugees, is authorized to compare a list of 1,745 names submitted by Vietnam with a Washington roll of acceptable Vietnamese and determine whether they are eligible for a flight to the United States. Those approved would make a short stopover in Bangkok for administrative formalities.  ''The fact that the Vietnamese let the man into Saigon appears to be a very encouraging breakthrough,'' an American Embassy source said.  LANGUAGE: ENGLISH                      ",November 13 1980 ,0
"    LEJEUNE, N.C., Nov. 18   A former prisoner of war in Vietnam testified today that Pfc. Robert R. Garwood of the Marines had helped the North Vietnamese guard captive United States servicemen and had worn a black mourning band after the death of Ho Chi Minh.  Sgt. 1st Class Robert Lewis 3d of the Army, from Fort Sam Houston, Tex., said that Private Garwood had carried weapons, worn a Vietnamese uniform and a badge honoring the North Vietnamese leader and been known by a Vietnamese name that translated as ''brave liberation fighter.''  Private Garwood, 34 years old, is on trial on charges of desertion, collaboration, abusing fellow prisoners and trying to persuade other Americans to surrender. The acts allegedly occurred in the 14 years Garwood was listed as missing in Vietnam.  Sergeant Lewis was the second witness in the court-martial, which opened last Friday after long procedural delays.  LANGUAGE: ENGLISH                      ",November 19 1980 ,0
"      The United States and Vietnam have reached agreement on a program that will initially permit the immigration of up to 1,500 Vietnamese and their families to the United States, the State Department said today.  The first departures from Vietnam, totaling about 250 people, are expected to begin Thursday aboard a weekly Air France flight from Ho Chi Minh City, formerly Saigon, to Bangkok, Thailand.  American officials said the Carter Administration, in selecting which Vietnamese were eligible for entry into the United States, was giving priority to those with relatives in the United States or those who were formerly employed by the United States Government.  The State Department spokesman, John H. Trattner, said the program was humanitarian in nature and was unrelated to the question of normalization of relations between Washington and Hanoi.  LANGUAGE: ENGLISH                      ",December 9 1980 ,0
"    WORLD NEWS BRIEFS; Pakistan Pledges Change, Ending Shiite Protests  ISLAMABAD, Pakistan, July 6 (Reuters) - President Mohammad Zia ul-Haq made a peace settlement today with 25,000 Shiite Moslem demonstrators besieging the Government secretariat in Islamabad.  A Government communique said the President had promised changes by Sept. 15 in a new tax law that the protesters said was contrary to the laws of their sect. Within minutes, demonstrators, who had been protesting for three days, began streaming back to their homes through a strong cordon of troops and policemen.  The settlement was reached after talks between President Zia and Shiite leaders including Mufti Jaffar Hussain.  At least one man was killed and 13 were injured in clashes with policemen yesterday.  Zimbabwe Minimum Wage Spurs Many Dismissals  SALISBURY, Zimbabwe, July 6 (Reuters) - A Government decision to set a minimum wage for workers has backfired for thousands with dismissals reported throughout the country.  Officials of the ruling party of Prime Minister Robert Mugabe said today that in the Salisbury area alone more than 5,000 workers were dismissed before the minimum wage bill went into effect last Tuesday.  Worst hit, according to the officials, were domestic servants and farm workers for whom the minimum has been set at $45 a month.  Employees in the commercial and industrial sectors, where the minimum has been fixed at $105 a month, have also been dismissed. The officials said that every party office in the country was dealing with hundreds of workers each day complaining of unfair dismissal.  Vietnam Reports Fighting With China Across Border  BANGKOK, Thailand, July 6 (Reuters) - Vietnamese gunners yesterday fought an artillery duel with Chinese troops across the border between the two countries, the Hanoi radio said today.  It said the duel was instigated by Chinese forces who poured hundreds of artillery and mortar shells into an area of the northern Vietnamese province of Cau Bang ''causing dozens of casualties and destroying many houses and crop fields.''  The radio said Vietnamese artillery units returned the fire ''and duly punished the aggressors.''  Burning Italian Liner Tilts Onto Its Side  LA SPEZIA, Italy, July 6 (Reuters) -The Italian luxury liner Leonardo da Vinci, which caught fire three days ago, tilted onto its right side today in about 40 feet of water, port authorities here said.  The liner, listing at an angle of about 60 degrees, was still on fire, and it appeared that the flames might have reached 1,200 tons of fuel oil in its tanks. Smoke, which had subsided, increased as the ship heeled over and dense black clouds billowed over the bay here.  ''All our efforts now are concentrated on getting a mobile barrier into place to avoid possible pollution damage if the oil escapes,'' a harbor official said.  Boats taking tourists to look at the smoldering liner were banned from coming closer than half a mile.  The 20-year-old liner is expected to be sold for scrap. It was insured for $7.7 million.  LANGUAGE: ENGLISH                      ",July 7 1980 ,1
"    KONG, Aug. 1   The way Hanoi is telling it, Moscow's success in putting a Vietnamese into space is about the best thing to happen to the third world since miracle rice.  Vietnam's first spaceman, Lieut. Col. Pham Tuan, returned yesterday from an eight-day visit to a Soviet space station with a Russian colleague. Bursting with pride as well as propaganda, the Hanoi radio and the Vietnam News Agency have trumpeted the trip to Asian neighbors as an example of what friendship with the Russians can bring.  The United States shared its space triumphs with third-world allies by passing out moon rocks. Vice President Spiro T. Agnew presented one of the first samples to President Nguyen Van Thieu of South Vietnam a decade ago. But in terms of national pride, taking a third-world friend along for the ride may reap bigger rewards for the Soviet Union. At any rate, that is what Hanoi is saying.  In a message to the Soviet leaders, the leaders in Hanoi called the space flight ''an excellent demonstration of the Soviet Union's great and effective assistance to Vietnam,'' which ''proves the superiority of the socialist system.''  Cosmonaut Lauds 'Heroic Vietnam'  After touching down in the steppe region of Kazakhstan, the Soviet commander, Viktor Gorbatko, stepped out of the space capsule with Colonel Tuan and declared: ''I am proud of having flown together with the first cosmonaut of Asia, and it is no other Asian country than heroic Vietnam.''  Colonel Tuan used part of his week in space to beam television broadcasts to Vietnamese audiences that were translated and relayed to other Asian countries. In one broadcast he declared: ''I was deeply moved each time I flew over Vietnam and saw our beautiful homeland. From outer space I wish to send my greetings to our beloved motherland and to thank Vietnam and the Communist Party of Vietnam for having trained me and given me wings to fly into space.''  He went on to note Vietnam's long struggle for independence and reunification and its ''great victories,'' adding: ''Yet, so far, the Vietnamese people have not been able to enjoy genuine peace due to the war threats made by the U.S. imperialists and the Chinese expansionists against the peoples of Vietnam, Laos and Kampuchea.'' Kampuchea is the traditional name for Cambodia.  Awards From Moscow and Hanoi  Colonel Tuan's flight was the sixth of a series in which Soviet cosmonauts have taken along a man from an allied country. Colonel Tuan was awarded the Order of Lenin and the title of Hero of the Soviet Union by Moscow; Hanoi awarded him the title ''hero of labor'' and presented him the Ho Chi Minh Order, first class.  According to the Vietnamese Army newspaper, Quan Doi, on Dec. 27, 1972, Pham Tuan, then a MIG-21 night pilot in the North Vietnamese Air Force, became the first Vietnamese pilot to shoot down a United States B-52 bomber. He did so, the paper said, after remembering Prime Minister Pham Van Dong's pep talk to his unit to shoot down more B-52's in order to ''completely smash Nixon's strategic blitz, thus destroying his plot to negotiate from a position of strength.''  Another Hanoi newspaper, Nhan Dan, portrayed the space flight and the Moscow Olympics as examples of Soviet-Vietnamese friendship and cooperation.  LANGUAGE: ENGLISH  GRAPHIC: Illustrations: photo of Soviet and Vietnamese astronauts                      ",August 2 1980 ,1
"   , Thailand, Aug. 23   A program designed to allow Vietnamese to emigrate to join their families, mainly in the United States, has led to only a trickle of departures and appears to be stymied.  Under the plan, which was laboriously negotiated by the United Nations High Commissioner for Refugees with the Vietnamese Government early last year, only 647 Vietnamese have legally left for the United States since October although requests for the emigration of about 60,000 have been made by relatives in the United States. Most of those who left Vietnam flew on a few charter flights organized by the United Nations refugee agency and some left on the weekly Air France flights from Ho Chi Minh City, formerly called Saigon.  No United Nations flight has left Vietnam in almost a year. The protracted negotiations between Washington and Hanoi to allow American consular officials to examine applicants in Ho Chi Minh City are stalled, and the only American assigned to the United Nations High Commissioner to screen applicants left Hanoi this month after an eight-month stay without being allowed to visit Ho Chi Minh City.  Blame Is Put on Hanoi  Although American officials here concede that cumbersome United States immigration procedures have not facilitated the task and that bureaucratic mixups have occurred, they and United Nations aides, speaking privately, blame Hanoi, saying it has used the issue to pursue its larger political goals.  The program was negotiated by the United Nations shortly before the outflow last summer of the so-called boat people, mainly ethnic Chinese forced to leave by the Vietnamese authorities. When international pressure, culminating in the Geneva conference of July 1979, caused Vietnam to promise to halt the flow, it tried to get rid of the Chinese by grafting them onto the orderly departure program.  Hanoi subsequently proposed 30,000 names for family reunification under the United Nations program, almost all ethnic Chinese from Cholon, the former South Vietnamese capital's Chinese quarter.  Checked by computer against the names submitted by relatives in the United States, only 74 of the 30,000 appeared to have any ties to Vietnamese in the United States. A recheck turned up 70 more who might have a claim for admission.  Drive for Diplomatic Ties  The lists of names Hanoi submitted appeared to be the result of a block-by-block registration of inhabitants of Cholon, an American official with long experience in Vietnam said. An informant recently returned from Ho Chi Minh City reported that it was common knowledge that many of the people on the lists were ethnic Chinese who had paid the Vietnamese authorities to be expelled but were prevented from leaving after the Geneva conference.  Vietnam is also accused of using the family-reunification program to press the United States for diplomatic relations. After apparently agreeing to accept temporary visits by American consuls assigned to the embassy in Bangkok to screen applicants in Ho Chi Minh City, Hanoi declared that such consuls could visit only when there was an American embassy in Vietnam.  The compromise of having American officials work in Ho Chi Minh City as members of the United Nations refugee body led to the assignment of the American who was prevented from performing his task. No replacement has been named.  LANGUAGE: ENGLISH                      ",August 24 1980 ,0
"    ANGELES, Aug. 23   When the six young Vietnamese men left the restaurant without paying for their meals, the owner, who was also from Vietnam, decided to keep quiet.  But the six returned with clubs and knives, taking $400 from the cash register and hitting a worker over the head with a hammer.  The owner told the police that he feared retaliation, but that he had put up with enough trouble. With his help, four adults and two juveniles were arrested, said Sgt. Bruce Beauchamp of Garden Grove, the suburb where the incident occurred.  ''We have not had that many reports of gang activity,'' Sergeant Beauchamp said. ''Whether it's because the people in the community are hesitant to talk with us, we're not positive.''  Gangs Operate in Two Counties  Garden Grove is in Orange County, which has an Indochina population officially estimated at 18,000 and unofficially put at 35,000. Its neighbor to the north, Los Angeles County, has an estimated 110,000 Indochina residents.  In both counties, the police and members of the Vietnamese community report gang activity but differ on how serious the problem is. Other Indochina minorities apparently are not involved.  Although no one claims to know how many gangs there are, there is agreement on the characteristics of the groups: They are composed of single men, 19 to 25 years old, many with training as soldiers in Vietnam.  The members of the gangs wear no uniforms and are loosely organized around older, more sophisticated leaders. Their activities tend to be the extortion of ''protection'' money from businesses rather than gang wars. And rather than claiming a turf, or specific area as its own, a gang may draw members from both counties.  Occasional Fights With Chinese  The gangs operate where Indochinese Americans live, chiefly in central Orange County from Westminster to Anaheim. In Los Angeles, the gangs frequent Chinatown, where Vietnamese of ethnic Chinese descent sometimes fight with Chinese gangs.  The gangs' names are descriptive. The Lun gang is made up of members who are short in stature, and its name comes from a word that means ''short'' in Vietnamese. The Frogmen has members who reputedly are former underwater demolition experts for the Vietnamese Army.  Joe Marcel of the Indochina Social Service Project in Los Angeles said gang members are motivated by loneliness and depression.  Mr. Marcel, a Vietnamese who adopted a French name while living in Paris, said gang members rarely become as violent as they did in the restaurant incident. But Detective Joe Bryan of Anaheim said he has heard of retaliatory beatings.  Possibility of Violence Raised  ''If nothing changes, one day they could become dangerous because they do have experience with violence,'' said Mr. Marcel. ''They are very well-trained as soldiers.''  Mr. Bryan said the police have trouble combating the gangs because of problems gaining the confidence of the Vietnamese community. He added: ''It's a subtle culture. We probably will never get a handle on it, not in this generation.''  Randy Quan of the Los Angeles Police Department's Asian Task Force said the police use Chinese officers to prosecute Chinese and Vietnamese-Chinese gangs. He said the threats made by gang members are very subtle, saying that ''if it's literally translated in a court of law, it doesn't mean the same thing.''  Officials said there is a danger that the gangs may join organized crime. But many believe the gangs will disappear as members find a constructive place in society.  Mr. Marcel said: ''The more training programs we have, the less problems we have. I don't see them as a bad part of society, but they are too active and don't have enough to do. ''If we approach them right, they could make a good contribution to this country. They are young, they have energy. They need to learn to use that energy.''  LANGUAGE: ENGLISH                      ",August 24 1980 ,0
"   , Thailand, Sept. 20   A typhoon flooded nearly 10,000 acres of rice fields and destroyed homes, schools and hospitals last Tuesday, the Vietnam news agency reported today. It said the storm - the sixth tropical storm to hit Vietnam in two months - struck Thanh Hoa Province south of Hanoi.  LANGUAGE: ENGLISH                      ",September 21 1980 ,0
